sampleid,cluster_id,method,source,target,rank,score,cluster_rank_for_edge,is_top_cluster_for_edge,fold_vs_max_other_cluster,present_clusters,total_clusters
imm_atlas_TT_p01,1,astar_path,STAT3,JUNB,17,0.8429069278366422,1,True,1.0159314339599197,7,7
imm_atlas_TT_p01,1,astar_path,JUN,CD44,18,0.839315095025567,2,False,0.9914475021685901,7,7
imm_atlas_TT_p01,1,astar_path,MYC,RPS6,19,0.838078176832179,2,False,0.9586601923977002,7,7
imm_atlas_TT_p01,1,astar_path,SP1,RPS3A,20,0.8375263245744095,2,False,0.9501294998756519,7,7
imm_atlas_TT_p01,1,astar_path,JUN,IL7R,21,0.8367090657804273,3,False,0.9009285592498966,7,7
imm_atlas_TT_p01,1,astar_path,E2F4,RPS8,22,0.8339933263842576,2,False,0.9526777064918163,7,7
imm_atlas_TT_p01,1,astar_path,IRF1,HLA-A,23,0.8330388148911225,3,False,0.9155200941094077,7,7
imm_atlas_TT_p01,1,astar_path,MYC,RPS15,24,0.824154089780368,2,False,0.9662514947081539,7,7
imm_atlas_TT_p01,1,astar_path,MYC,RPL26,25,0.8223647711705673,2,False,0.9580449146615181,7,7
imm_atlas_TT_p01,1,astar_path,MYC,RPL3,26,0.8194750580953656,2,False,0.9536801232612322,7,7
imm_atlas_TT_p01,1,astar_path,JUN,ETS1,27,0.8179579688432014,3,False,0.9644895144409338,7,7
imm_atlas_TT_p01,1,astar_path,MYC,RPS16,28,0.8149391125372313,2,False,0.9644611040322022,7,7
imm_atlas_TT_p01,1,astar_path,STAT3,FOS,29,0.8131152418629133,2,False,0.954447041225041,7,7
imm_atlas_TT_p01,1,astar_path,JUND,TGFB1,30,0.8107770805403753,3,False,0.9822097457296083,5,7
imm_atlas_TT_p01,1,astar_path,ETS1,FOS,31,0.8080620956110891,3,False,0.9090150210671185,7,7
imm_atlas_TT_p01,1,astar_path,NFKB1,JUNB,32,0.8073602258806749,1,True,1.0343726115918388,7,7
imm_atlas_TT_p01,1,astar_path,MYC,PTMA,33,0.8065373586775607,2,False,0.9708509511761815,7,7
imm_atlas_TT_p01,1,astar_path,MYC,RPL6,34,0.805906765180228,2,False,0.978215510330271,7,7
imm_atlas_TT_p01,1,astar_path,JUN,EZR,35,0.8019726050239477,2,False,0.9467681746544641,7,7
imm_atlas_TT_p01,1,astar_path,FOS,EZR,36,0.7916439906134459,4,False,0.9526858637338768,7,7
imm_atlas_TT_p01,1,astar_path,JUN,TGFB1,37,0.7898154528056067,1,True,1.0071944861148587,7,7
imm_atlas_TT_p01,1,astar_path,FOS,CD44,38,0.7894032153045974,2,False,0.9335175536079555,7,7
imm_atlas_TT_p01,1,astar_path,JUN,CCND2,39,0.7844392386294328,1,True,1.0067514512473825,7,7
