track,bin,axis_lo,axis_hi,axis_center,n_cells,mean,sd,sem,ci95_lo,ci95_hi
A*,19,2.3368635976407437,2.527805942978178,2.4323347703094607,18940,0.00604268393813907,0.0038943314414794177,2.8297164771629206e-05,0.005987221495186676,0.0060981463810914635
A*,20,2.527805942978178,3.755393999447435,3.1415999712128064,18941,0.005497332674099091,0.003839306766024479,2.7896605584140853e-05,0.0054426553271541755,0.005552010021044007
prior,1,-1.8102460387258819,-0.21418251216153572,-1.012214275443709,18941,0.00422924286347664,0.002531929484518165,1.8397133258929062e-05,0.004193184482289139,0.004265301244664141
prior,2,-0.21418251216153572,0.02681345303646912,-0.0936845295625333,18940,0.0039236738807911,0.002407507253560033,1.7493536558614152e-05,0.003889386549136216,0.003957961212445984
prior,3,0.02681345303646912,0.21145587690206843,0.11913466496926878,18940,0.0037013955407718497,0.0023375725316406026,1.698537376375445e-05,0.003668104208194891,0.0037346868733488083
prior,4,0.21145587690206843,0.37912947816559767,0.29529267753383304,18940,0.003613867787442485,0.0023122017071120528,1.6801023147258457e-05,0.0035809377820738585,0.0036467977928111117
prior,5,0.37912947816559767,0.5439118012205346,0.4615206396930661,18940,0.003525114026174956,0.0022934343252812815,1.6664654760546188e-05,0.0034924513028442854,0.0035577767495056267
prior,6,0.5439118012205346,0.7215911398057817,0.6327514705131582,18940,0.0035522475426890783,0.002296504459078512,1.6686963103643504e-05,0.003519541095005937,0.0035849539903722197
prior,7,0.7215911398057817,0.9172304299115103,0.819410784858646,18940,0.0036882313539233595,0.002288519731718429,1.662894412165388e-05,0.0036556386234449178,0.0037208240844018013
prior,8,0.9172304299115103,1.1135011694235204,1.0153657996675154,18940,0.003970447377223522,0.0022475220510437934,1.633104494621439e-05,0.003938438529128942,0.004002456225318102
prior,9,1.1135011694235204,1.2870143586010128,1.2002577640122665,18940,0.004084178304508604,0.0021786473644163852,1.5830584627061456e-05,0.0040531503586395635,0.0041152062503776446
prior,10,1.2870143586010128,1.4342258381533934,1.3606200983772032,18940,0.0041562028580671324,0.002089516967295149,1.5182941361098908e-05,0.004126444292999378,0.004185961423134887
prior,11,1.4342258381533934,1.5624624646339582,1.4983441513936757,18940,0.00415397228632753,0.0020372322118859224,1.480302753992267e-05,0.0041249583523492814,0.0041829862203057785
prior,12,1.5624624646339582,1.6748803291155667,1.6186713968747624,18940,0.004094806143592349,0.001995307132178225,1.4498389656275634e-05,0.004066389299866049,0.00412322298731865
prior,13,1.6748803291155667,1.7802716489354253,1.727575989025496,18940,0.004045102164552054,0.001974799518734288,1.434937632101737e-05,0.00401697738696286,0.004073226942141249
prior,14,1.7802716489354253,1.8813205996096394,1.8307961242725324,18940,0.003963135457747632,0.0019472812691382808,1.4149421988740708e-05,0.0039354025906497,0.0039908683248455635
prior,15,1.8813205996096394,1.980469355944431,1.9308949777770352,18940,0.0038604862184319984,0.0019197608374216376,1.3949451800641776e-05,0.0038331452929027407,0.003887827143961256
prior,16,1.980469355944431,2.0847479910829882,2.0326086735137094,18940,0.003798517220693538,0.0019228016455329067,1.39715470561321e-05,0.0037711329884635193,0.0038259014529235568
prior,17,2.0847479910829882,2.199764103795543,2.1422560474392656,18940,0.003679576048627318,0.0019150214051027298,1.3915013926190809e-05,0.0036523026213319838,0.003706849475922652
